Date,MoMInflation%
2019-07-22,5.01
2019-07-29,5.01
2019-08-05,5.01
2019-08-12,6.44
2019-08-19,6.44
2019-08-26,6.44
2019-09-02,6.44
2019-09-09,6.44
2019-09-16,7.35
2019-09-23,7.35
2019-09-30,7.35
2019-10-07,7.35
2019-10-14,8.42
2019-10-21,8.42
2019-10-28,8.42
2019-11-04,8.42
2019-11-11,10.59
2019-11-18,10.59
2019-11-25,10.59
2019-12-02,10.59
2019-12-09,10.59
2019-12-16,11.01
2019-12-23,11.01
2019-12-30,11.01
