Date,MoMInflation%
2019-07-01,0.95
2019-07-08,0.95
2019-07-15,0.03
2019-07-22,0.03
2019-07-29,0.03
2019-08-05,0.03
2019-08-12,1.36
2019-08-19,1.36
2019-08-26,1.36
2019-09-02,1.36
2019-09-09,1.36
2019-09-16,0.86
2019-09-23,0.86
2019-09-30,0.86
2019-10-07,0.86
2019-10-14,0.99
2019-10-21,0.99
2019-10-28,0.99
2019-11-04,0.99
2019-11-11,2.0
2019-11-18,2.0
2019-11-25,2.0
2019-12-02,2.0
2019-12-09,2.0
2019-12-16,0.38
2019-12-23,0.38
2019-12-30,0.38
